label,diff_pp,p_value,ci_lower_pp,ci_upper_pp,n_common,a_only,b_only,significance
Mode 2 (Debate) vs Mode 3 (Structured),-1.0204081632653073,0.7114763589543266,-5.685131195335274,3.6443148688046656,686,135,128,n.s.
Mode 2 (Debate) vs Mode 3b (Struct+Deb),0.7256894049346874,0.803768896699255,-3.9187227866473107,5.224963715529757,689,127,132,n.s.
Mode 2 vs Conditional Debate (LG),4.934687953555877,0.027932078686906163,0.7256894049346818,9.143686502177067,689,96,130,*
Describe-fuse vs Conditional Debate,1.4513788098693747,0.5204221958817005,-2.4673439767779417,5.3701015965166965,689,93,103,n.s.
Directed Debate vs Conditional Debate,5.370101596516691,0.012157915853683756,1.3062409288824406,9.433962264150948,689,85,122,*
Conditional Debate vs Option Ranking,-0.14513788098693414,1.0,-4.2089985486211905,3.9187227866473107,689,103,102,n.s.
Conditional vs Conservative Conditional,-1.5965166908563144,0.48500031468220833,-5.6603773584905595,2.467343976777936,689,108,97,n.s.
